match	mis.match	rep_match	countN	Qgapcount	Qgapbases	Tgapcount	Tgapbases	strand	Qname-Tnt1	Qsize	Qstart	Nbr bp Extraire	Qend	Tname	Tsize	Tstart	Tend	blockcount	blockSizes	qStarts	tStarts
1263	3	0	0	1	3	2	2	+	mira_rep_c4619	1269	0	615	1269	gb|AWOK01026611.1|	60099	13625	14893	3	47,1202,17,	0,47,1252,	13625,13673,14876,
271	1	0	0	1	1	0	0	-	mira_rep_c5256	276	0	615	273	gb|AWOK01179480.1|	3061	1147	1419	2	11,261,	3,15,	1147,1158,
251	1	0	0	2	2	0	0	-	mira_rep_c5388	254	0	615	254	gb|AWOK01090990.1|	39776	31231	31483	3	49,12,191,	0,50,63,	31231,31280,31292,
407	0	0	0	1	1	1	1	+	mira_rep_c5755	408	0	615	408	gb|AWOK01011565.1|	34032	5534	5942	3	187,112,108,	0,188,300,	5534,5721,5834,
871	4	0	0	0	0	3	3	-	mira_rep_c5809	890	0	615	875	gb|AWOK01451787.1|	1798	783	1661	4	604,5,6,260,	15,619,624,630,	783,1388,1394,1401,
324	0	0	0	0	0	2	377	-	mira_rep_c6006	324	0	615	324	gb|AWOK01093422.1|	3221	1878	2579	3	152,167,5,	0,152,319,	1878,2031,2574,
299	0	0	0	0	0	2	371	+	mira_rep_c6170	299	0	615	299	gb|AWOK01290555.1|	13594	284	954	3	6,69,224,	0,6,75,	284,660,730,
961	2	0	0	0	0	0	0	+	mira_rep_c6206	963	0	615	963	gb|AWOK01342009.1|	18450	5	968	1	963	0	5
440	0	0	4	3	4	1	1	+	mira_rep_c6354	448	0	615	448	gb|AWOK01298033.1|	69273	17230	17675	5	178,179,55,24,8,	0,178,358,415,440,	17230,17409,17588,17643,17667,
545	0	0	0	2	2	1	321	-	mira_rep_c6471	547	0	615	547	gb|AWOK01164598.1|	64687	10289	11155	4	225,9,306,5,	0,226,236,542,	10289,10514,10523,11150,
424	2	0	0	0	0	1	1	-	mira_rep_c6533	426	0	615	426	gb|AWOK01103277.1|	72679	35097	35524	2	107,319,	0,107,	35097,35205,
258	1	0	0	1	1	0	0	-	mira_rep_c6568	260	0	615	260	gb|AWOK01126218.1|	4976	4608	4867	2	23,236,	0,24,	4608,4631,
543	0	0	0	1	1	2	321	-	mira_rep_c6688	544	0	615	544	gb|AWOK01084100.1|	60536	54361	55225	4	4,200,334,5,	0,5,205,539,	54361,54365,54566,55220,
636	1	0	0	0	0	2	2966	+	mira_rep_c6731	637	0	615	637	gb|AWOK01121724.1|	24931	6	3609	3	504,26,107,	0,504,530,	6,3475,3502,
223	0	0	0	0	0	0	0	-	mira_rep_c6837	228	0	615	223	gb|AWOK01220183.1|	13081	7548	7771	1	223	5	7548
588	2	0	0	0	0	1	1	-	mira_rep_c6852	590	0	615	590	gb|AWOK01051572.1|	20145	19190	19781	2	36,554,	0,36,	19190,19227,
367	1	0	0	0	0	0	0	+	mira_rep_c6855	368	0	615	368	gb|AWOK01099695.1|	20410	16266	16634	1	368	0	16266
463	2	0	1	1	1	1	24	+	mira_rep_c6860	467	0	615	467	gb|AWOK01166606.1|	561	33	523	3	191,264,11,	0,191,456,	33,248,512,
314	1	0	0	1	1	0	0	+	mira_rep_c6869	316	0	615	316	gb|AWOK01608462.1|	2557	35	350	2	247,68,	0,248,	35,282,
339	0	0	0	0	0	0	0	+	mira_rep_c4971	340	1	616	340	gb|AWOK01031612.1|	15185	6547	6886	1	339	1	6547
255	0	0	1	1	1	0	0	+	mira_rep_c5334	258	1	616	258	gb|AWOK01165467.1|	19403	3224	3480	2	236,20,	1,238,	3224,3460,
328	0	0	0	1	1	0	0	+	mira_rep_c5464	330	1	616	330	gb|AWOK01472364.1|	2373	185	513	2	250,78,	1,252,	185,435,
384	0	0	0	0	0	1	1	+	mira_rep_c6986	385	1	616	385	gb|AWOK01117387.1|	72902	14012	14397	2	338,46,	1,339,	14012,14351,
409	0	0	0	1	1	0	0	-	mira_rep_c4950	412	2	617	412	gb|AWOK01507510.1|	13686	13213	13622	2	27,382,	0,28,	13213,13240,
470	0	0	0	1	1	1	1	-	mira_rep_c5860	474	3	618	474	gb|AWOK01190592.1|	34840	26377	26848	3	17,161,292,	0,18,179,	26377,26394,26556,
257	0	0	4	0	0	0	0	+	mira_rep_c5255	266	4	619	265	gb|AWOK01205054.1|	2845	2279	2540	1	261	4	2279
432	0	0	0	0	0	0	0	+	mira_rep_c6829	436	4	619	436	gb|AWOK01010990.1|	32078	17287	17719	1	432	4	17287
1143	0	0	0	0	0	0	0	+	mira_c207	1148	5	620	1148	gb|AWOK01328890.1|	23336	15122	16265	1	1143	5	15122
1302	10	0	2	0	0	2	2	+	mira_c2470	1319	5	620	1319	gb|AWOK01387413.1|	29719	16053	17369	3	330,557,427,	5,335,892,	16053,16384,16942,
726	1	0	0	0	0	0	0	-	mira_c3659	732	5	620	732	gb|AWOK01242585.1|	17563	13611	14338	1	727	0	13611
1292	2	0	1	2	5	4	114	+	mira_rep_c4726	1305	5	620	1305	gb|AWOK01155642.1|	43379	16909	18318	6	638,178,103,36,302,38,	5,643,825,929,965,1267,	16909,17548,17728,17831,17977,18280,
383	0	0	0	1	1	2	3	+	mira_rep_c5553	389	5	620	389	gb|AWOK01311398.1|	57329	38361	38747	3	42,328,13,	5,48,376,	38361,38405,38734,
333	2	0	14	2	2	1	3	+	mira_rep_c6229	356	5	620	356	gb|AWOK01155642.1|	43379	16909	17261	3	41,255,53,	5,47,303,	16909,16950,17208,
534	0	0	2	2	3	1	1	-	mira_rep_c6825	544	5	620	544	gb|AWOK01143192.1|	25008	1678	2215	3	47,83,406,	0,49,133,	1678,1726,1809,
272	0	0	0	0	0	0	0	+	mira_rep_c6871	277	5	620	277	gb|AWOK01031677.1|	51060	46421	46693	1	272	5	46421
277	0	0	0	0	0	0	0	+	mira_rep_c6992	282	5	620	282	gb|AWOK01031612.1|	15185	6551	6828	1	277	5	6551
330	0	0	2	2	5	3	8	+	mira_rep_c6746	343	6	621	343	gb|AWOK01059643.1|	33483	842	1182	5	163,113,6,42,8,	6,169,286,292,335,	842,1006,1125,1132,1174,
514	1	0	5	3	9	2	4	-	mira_rep_c5641	549	20	635	549	gb|AWOK01372675.1|	27298	6080	6604	5	83,41,347,29,20,	0,84,126,480,509,	6080,6163,6204,6554,6584,
391	0	0	1	0	0	0	0	-	mira_rep_c6862	412	20	635	412	gb|AWOK01372675.1|	27298	6212	6604	1	392	0	6212
301	0	0	1	0	0	1	1	+	mira_rep_c6853	362	50	665	352	gb|AWOK01747862.1|	303	0	303	2	292,10,	50,342,	0,293,
305	0	0	0	1	1	0	0	+	mira_rep_c6027	375	69	684	375	gb|AWOK01797126.1|	5599	0	305	2	276,29,	69,346,	0,276,
689	1	0	0	1	1	1	1	-	mira_rep_c6831	800	109	724	800	gb|AWOK01189727.1|	3817	3126	3817	3	61,243,386,	0,61,305,	3126,3188,3431,
243	0	0	0	0	0	0	0	+	mira_c4554	357	114	729	357	gb|AWOK01172196.1|	7828	0	243	1	243	114	0
986	0	0	0	1	1	6	4631	-	mira_c51	1109	122	737	1109	gb|AWOK01605081.1|	8726	3109	8726	8	273,151,138,86,39,40,156,103,	0,273,424,562,648,687,727,884,	3109,3676,3927,5104,6048,6529,8467,8623,
833	0	0	0	1	1	5	6	+	mira_c3466	957	123	738	957	gb|AWOK01308381.1|	9847	0	839	7	68,6,19,90,325,274,51,	123,191,197,216,306,631,906,	0,69,76,96,187,514,788,
1107	0	0	0	1	1	0	0	-	mira_c436	1278	126	741	1234	gb|AWOK01668723.1|	2701	1594	2701	2	914,193,	44,959,	1594,2508,
468	0	0	0	0	0	2	2	-	mira_c4107	595	127	742	595	gb|AWOK01329297.1|	1710	1240	1710	3	33,19,416,	0,33,52,	1240,1274,1294,
298	4	0	2	0	0	0	0	-	mira_c5659	431	127	742	431	gb|AWOK01179621.1|	9521	4143	4447	1	304	0	4143
495	0	0	0	1	1	0	0	+	mira_c3957	633	128	743	624	gb|AWOK01796417.1|	3521	0	495	2	289,206,	128,418,	0,289,
253	0	0	0	0	0	1	1	-	mira_rep_c5895	381	128	743	381	gb|AWOK01517921.1|	2149	1895	2149	2	86,167,	0,86,	1895,1982,
619	0	0	0	0	0	0	0	-	mira_rep_c6867	747	128	743	747	gb|AWOK01607165.1|	1155	536	1155	1	619	0	536
293	0	0	0	1	1	1	111	-	mira_rep_c6751	423	129	744	423	gb|AWOK01010912.1|	2767	2363	2767	3	69,82,142,	0,70,152,	2363,2432,2625,
270	0	0	0	0	0	0	0	-	mira_rep_c6760	399	129	744	399	gb|AWOK01044093.1|	55823	55553	55823	1	270	0	55553
844	0	0	0	2	2	0	0	+	mira_c3719	977	131	746	977	gb|AWOK01173054.1|	2246	0	844	3	282,553,9,	131,414,968,	0,282,835,
278	1	0	0	1	1	0	0	-	mira_rep_c5969	414	132	747	412	gb|AWOK01279155.1|	25978	25699	25978	2	9,270,	2,12,	25699,25708,
398	0	0	5	0	0	2	215	+	mira_rep_c6003	535	132	747	535	gb|AWOK01659720.1|	2619	0	618	3	45,295,63,	132,177,472,	0,46,555,
272	0	0	0	1	1	1	1	-	mira_rep_c6004	408	135	750	408	gb|AWOK01100200.1|	3739	3130	3403	3	4,54,214,	0,4,59,	3130,3135,3189,
500	0	0	1	2	2	2	6	+	mira_rep_c5827	669	166	781	669	gb|AWOK01051032.1|	10962	1425	1932	3	6,85,410,	166,173,259,	1425,1434,1522,
